"ระนอง","ระยอง","ยะลา","ร้อยเอ็ด"
"","วัดยายดา","","วัดวิสุทธิธรรมาราม"
"","วัดเขาโบสถ์","","วัดป่าพุธทคุณนิมิต"
"","วัดเขาไผ่","","วัดป่าอริยวงศ์"
"","วัดทับมา","","วัดศรีประชาพัฒนาราม"
"","วัดโขดทิมทาราม","","วัดงิ้วงาม"
"","วัดเขาวังม่าน","","วัดจังหาร"
"","วัดชะวึก","","วัดโนนขาม"
"","วัดนาตาขวัญ","","วัดบ้านแคน"
"","วัดกรอกยายชา","","วัดบ้านนา"
"","วัดโขดใต้","","วัดบ้านหัวงัว"
"","วัดโขดหิน","","วัดป่าจ่าเหลา"
"","วัดเนินพระ","","วัดสีมาราษฎร์วนาราม"
"","วัดหนองสนม","","วัดเหล่างิ้ว"
"","วัดเขาพระบาท","","วัดบ้านเหล่างิ้ว"
"","วัดตรีมิตรประดิษฐาราม","","วัดเทวาประสาท"
"","วัดแลง","","วัดอาศรมสันติวันตำบลดงสิงห์"
"","วัดปากน้ำ","","วัดนิคมคณาวาส"
"","วัดเกาะเสม็ด","","วัดนิมิตธัญญาผล"
"","วัดเขาสำเภาทอง","","วัดประสาทอารมณ์"
"","วัดในไร่","","วัดผดุงศรัทธรา"
"","วัดบ้านเพ","","วัดราษฎร์บำรุง"
"","วัดเภตราสุขารมย์","","วัดวารีสวาท"
"","วัดตากวน","","วัดสอาดธรรมทาน"
"","วัดมาบตาพุด","","วัดสอาดอารมณ์"
"","วัดยายจั่น","","วัดสุขสวัสดิ์"
"","วัดสำนักทอง","","วัดอาศรมสันติวัน"
"","วัดโอภาสี","","วัดอุดมคณาสิทธิ์"
"","วัดชากลูกหญ้า","","วัดแซงแหลม"
"","วัดซอยคีรี","","วัดบ้านขมิ้น"
"","วัดมาบชลูด","","วัดบ้านเขวาชี"
"","วัดหนองแฟบ","","วัดบ้านคุยค้อ"
"","วัดห้วยโป่ง","","วัดบ้านดอนหวาย"
"","วัดสมานมิตร","","วัดบ้านดินดำ"
"","วัดปากทางแกลง","","วัดบ้านพยอม"
"","วัดศรีวโนภาส","","วัดบึงโดน"
"","วัดตรีรัตนาราม","","วัดเลิงคา"
"","วัดจุฬามุนี","","วัดอรุณธรรมรังษี"
"","วัดมงคลสามัคคีธัมโมธัย","","วัดเก่าบุบผาราม"
"","วัดโสภณวนาราม","","วัดเจริญสุขถาวร"
"","วัดธรรมสถิต","","วัดดอนเกษม"
"","วัดเขาตาอิ๋น","","วัดบ้านปาฝา"
"","วัดคลองไผ่","","วัดศรีบุญเรือง"
"","วัดชุมแสง","","วัดอัมพวนาราม"
"","วัดคลองเขต","","วัดดงเครือวัลย์"
"","วัดบึงตากาด","","วัดเทวาพิทักษ์"
"","วัดป่ายุบ","","วัดโนนสวาท"
"","วัดเขาตลาดสิงหเสนี","","วัดบ้านหาด"
"","วัดพลงตาเอี่ยม","","วัดประสาทสิทธิผล"
"","วัดคลองจำกา","","วัดป่าคางฮุง"
"","วัดชงโค","","วัดบ้านแจ้งข่า"
"","วัดชุมนุมใน","","วัดโพธิ์ศรีม่วงลาด"
"","วัดวังจันทน์","","วัดราษฎร์วารี"
"","วัดศรีโสภณ","","วัดสว่างวนาวาส"
"","","","วัดสุธรรมราษฎร์บำรุง"
"","","","วัดชัยศรีมงคลวนาราม"
"","","","วัดโนนสว่าง"
"","","","วัดโนนสูง"
"","","","วัดบ้านน้ำเค็ม"
"","","","วัดศรีอาราม"
"","","","วัดหัวนายาง"
"","","","วัดโนนสูงวิเวการาม"
"","","","วัดฐิตวิริยาวนาราม"
"","","","วัดป่าสมุนไพรร้อยเอ็ด"
"","","","วัดบ้านหนองแซง"
"","","","วัดป่าบ้านดู่น้ำ(โนนสมอ)"
"","","","วัดป่าดอนสวรรค์"
"","","","วัดป่าศรีเลิงชัย"
"","","","วัดอรุณวิเวกธรรมาราม"
"","","","วัดเขวาทุ่ง"
"","","","วัดโต๊ะโหม"
"","","","วัดบ้านหนองบั่ว"
"","","","วัดโพธิ์รังสิทธิ์"
"","","","วัดหนองช้าง"
"","","","วัดเหล่าใหญ่"
"","","","วัดโพธิ์กลาง"
"","","","วัดโพธิ์ศรีวิลัย"
"","","","วัดศรีรัตนาราม"
"","","","วัดจันทราราม"
"","","","วัดธงธานี"
"","","","วัดวารีอุดม"
"","","","วัดหนองประดู่"
"","","","วัดเหนืออุดรชัยสิทธิ์"
"","","","วัดบิบผลิวนาราม"
"","","","วัดมงคลนิเวศน์"
"","","","วัดสารวนาราม"
"","","","วัดอุดมนิเวศน์"
"","","","วัดกลางเก่า"
"","","","วัดชัยคาม"
"","","","วัดดอนไผ่"
"","","","วัดตะโมม"
"","","","วัดท่าเยี่ยม"
"","","","วัดนิเวศน์"
"","","","วัดบ้านหนองบัว"
"","","","วัดประตูชัย"
"","","","วัดเหล่าแถม"
"","","","วัดเอกสัตย์บำรุง"
"","","","วัดจันทรังศรี"
"","","","วัดประชาอุทิศ"
"","","","วัดศรีจันทรวราราม"
"","","","วัดสว่างอารมณ์เขืองใหญ่"
"","","","วัดบ้านดอนไผ่"
"","","","วัดมะขามใต้"
"","","","วัดมะขามเหนือ"
"","","","วัดสมัยบำรุง"
"","","","วัดสังขนิวาส"
"","","","วัดจอมศรี"
"","","","วัดบังบด"
"","","","วัดป่าสุ่มน้อย"
"","","","วัดหนองปิง"
"","","","วัดเหนือพระเจ้า"
"","","","วัดเหล่าพระเจ้า"
"","","","วัดใหญ่พระเจ้า"
"","","","วัดโคกศรี"
"","","","วัดดอนสำราญใต้"
"","","","วัดโนนก้านเหลือง"
"","","","วัดบุ่งค้า"
"","","","วัดศรีสุพรรณ"
"","","","วัดคงคาวารี"
"","","","วัดน้อย"
"","","","วัดบ้านงิ้ว"
"","","","วัดป่าวิสุทธาวาส"
"","","","วัดพลับพลาชัย"
"","","","วัดมาลุวาคณาราม"
"","","","วัดวังยาว"
"","","","วัดเขมาวาส"
"","","","วัดดอนงัว"
"","","","วัดดู่กลาง"
"","","","วัดท่าบ่อ"
"","","","วัดไพบูลย์"
"","","","วัดหัวบ่อ"
"","","","วัดไก่ป่า"
"","","","วัดขัดเค้าใต้"
"","","","วัดชาตินิยม"
"","","","วัดดงบ้านนา"
"","","","วัดดอนชัย"
"","","","วัดเนินสง่าสามัคคี"
"","","","วัดบ้านกู่"
"","","","วัดบ้านโนนเดื่อ"
"","","","วัดมะเหลื่อม"
"","","","วัดมะอึ"
"","","","วัดยางกู่"
"","","","วัดส้มป่อย"
"","","","วัดหนองพอก"
"","","","วัดหนองยาง"
"","","","วัดธรรมนิยมสงเคราะห์"
"","","","วัดบ้านเมืองน้อย"
"","","","วัดมิ่งกลาง"
"","","","วัดเมืองน้อย"
"","","","วัดยางสินชัย"
"","","","วัดราษฎร์สามัคคีมะยาง"
"","","","วัดสระแก้ว"
"","","","วัดสว่างหนองเปิด"
"","","","วัดโพธิ์สว่าง"
"","","","วัดราชธานี"
"","","","วัดราชวนาราม"
"","","","วัดอี่หลุบ"
"","","","วัดเจริญผล"
"","","","วัดเปลือยน้อย"
"","","","วัดหนองแข้"
"","","","วัดหนองเต่า"
"","","","วัดหนองไผ่"
"","","","วัดหนองโสน"
"","","","วัดอุดม"
"","","","วัดกลางหมูม้น"
"","","","วัดธาตุประทับ"
"","","","วัดศรีวราหเขต"
"","","","วัดแสงประทีป"
"","","","วัดเหล่าหมูม้น"
"","","","วัดบัวหลวง"
"","","","วัดยางกลาง"
"","","","วัดศรีจันทร์"
"","","","วัดสะพานทอง"
"","","","วัดห้วยสนุก"
"","","","วัดเหล่าคำไฮ"
"","","","วัดโกศลรังสฤษดิ์"
"","","","วัดขี้เหล็ก"
"","","","วัดจันทร์สว่าง"
"","","","วัดตรีคาม"
"","","","วัดเทพชัยมงคล"
"","","","วัดนาคำ"
"","","","วัดป่าสุ่ม"
"","","","วัดฝั่งแดง"
"","","","วัดป่าทรงธรรม"
"","","","วัดบ้านจอมพล"
"","","","วัดประดู่ศรีไพรวรรณ"
"","","","วัดสุวารีวิหาร"
"","","","วัดป่าดอนแก้ว"
"","","","วัดป่าศรีพระลานชัย"
"","","","วัดไตรมิตรสามัคคีวนาราม"
"","","","วัดบูรณะเขต"
"","","","วัดสะอาดศรีจันทร์"
"","","","วัดสีดาราม"
"","","","วัดสุนทร"
"","","","วัดแสงอรุณราษฎร์"
"","","","วัดหนองสระ"
"","","","วัดชัยประสิทธิ์"
"","","","วัดบ้านดงช้าง"
"","","","วัดสามัคคีราษฎร์"
"","","","วัดอินทาราม"
"","","","วัดโนนสวรรค์"
"","","","วัดบ้านบักตู้"
"","","","วัดราษฎร์บูรณะ"
"","","","วัดสำโรง"
"","","","วัดหนองม่วง"
"","","","วัดหัวช้าง"
"","","","วัดฮ่องแฮ่"
"","","","วัดคุยแต้"
"","","","วัดตระคลองบึง"
"","","","วัดบ้านโคกทม"
"","","","วัดสระโนน"
"","","","วัดสระปทุม"
"","","","วัดหนองขาม"
"","","","วัดขามป้อม"
"","","","วัดโคกก่อง"
"","","","วัดจันทาราม"
"","","","วัดท่าม่วง"
"","","","วัดนาแค"
"","","","วัดบ้านโพนสูง"
"","","","วัดพิลา"
"","","","วัดโพธิการาม"
"","","","วัดโพนทอง"
"","","","วัดช่วยราษฎร์บำรุง"
"","","","วัดดอนดู่"
"","","","วัดโนนท่อน"
"","","","วัดบัวขาว"
"","","","วัดบ้านสระบัว"
"","","","วัดสะแบง"
"","","","วัดหนองมะเขือ"
"","","","วัดหนองหญ้ารังกา"
"","","","วัดนนทาประชานิมิตร"
"","","","วัดบ้านดู่ฝายใหญ่"
"","","","วัดประสิทธาราม"
"","","","วัดป่าอุทยาน"
"","","","วัดศรีประดู่"
"","","","วัดสุขประดิษฐ์"
"","","","วัดสุนันทาราช"
"","","","วัดหนองบัวบาน"
"","","","วัดป่าจารึกธรรม"
"","","","วัดป่าหนองตาเย็น"
"","","","วัดคูฟ้า"
"","","","วัดชานุวรรณ"
"","","","วัดดงสว่าง"
"","","","วัดบ้านกุดน้ำใส"
"","","","วัดพนัส"
"","","","วัดหนองเรือ"
"","","","วัดหนองหิน"
"","","","วัดอุดรไชยศาสตร์"
"","","","วัดบ้านกลาง"
"","","","วัดบ้านมะเขือ"
"","","","วัดโพธิ์ไทร"
"","","","วัดท่าสำราญ"
"","","","วัดท่าใฮ"
"","","","วัดโนนศิลา"
"","","","วัดบ้านสำโรง"
"","","","วัดฟ้าหยาดสิริราษฏร์"
"","","","วัดศรีสุมังคล์"
"","","","วัดขุมเงิน"
"","","","วัดคำสูง"
"","","","วัดเจริญราษฏร์"
"","","","วัดโพธิ์งาม"
"","","","วัดสระแคน"
"","","","วัดสระพัง"
"","","","วัดหนองบัวใหญ่"
"","","","วัดดูกอึ่ง"
"","","","วัดทุ่งรังษี"
"","","","วัดธาตุจอมศรี"
"","","","วัดวารีเกษม"
"","","","วัดสีสุก"
"","","","วัดหนองแซง"
"","","","วัดหนองบัวแดง"
"","","","วัดหนองไศล"
"","","","วัดหนองแห้ว"
"","","","วัดชัยราษฏร์"
"","","","วัดเด่นราษฏร์"
"","","","วัดโพธิ์สูง"
"","","","วัดราษฏร์อุดมวนาราม"
"","","","วัดขะยอม"
"","","","วัดแจ้ง"
"","","","วัดนานวล"
"","","","วัดโนนม่วง"
"","","","วัดบ้านชาติ"
"","","","วัดราษฎร์นิยม"
"","","","วัดหนองคูพัฒนา"
"","","","วัดกลางอุดมเวทย์"
"","","","วัดคุ้มวราราม"
"","","","วัดดอนเจริญ"
"","","","วัดดอนพระจันทร์"
"","","","วัดท่าวารี"
"","","","วัดไทยสมบูรณ์ประชาสรรค์"
"","","","วัดบึง"
"","","","วัดป่าอัมพวัน"
"","","","วัดสระโพธิ์"
"","","","วัดเหนือ"
"","","","วัดดอนบ่อ"
"","","","วัดโพธิ์ชัย"
"","","","วัดสว่าง"
"","","","วัดหนองผือ"
"","","","วัดหนองศรีทอง"
"","","","วัดหนองสมบูรณ์"
"","","","วัดหนองเหล็ก"
"","","","วัดยางเดี่ยว"
"","","","วัดวารีสะอาด"
"","","","วัดศรีสว่างพัฒนาราม"
"","","","วัดสว่างอุทัย"
"","","","วัดสิงห์สมทองสามัคคี"
"","","","วัดอุปราวิจิตร"
"","","","วัดวารีสวัสดิ์"
"","","","วัดสระโพธาราม"
"","","","วัดสว่างแสงจันทร์"
"","","","วัดสุนทราวาส"
"","","","วัดทุ่งสว่างอารมณ์สุข"
"","","","วัดป่าโพธิ์ศรี"
"","","","วัดเลียบ"
"","","","วัดดอนแดง"
"","","","วัดท่าลาดพจนาตยาราม"
"","","","วัดบ้านหนองหลวง"
"","","","วัดบึงฮี"
"","","","วัดศรีนาชม"
"","","","วัดศรีมงคลท่าเสียว"
"","","","วัดสระหงษ์ทอง"
"","","","วัดสุจิตตาราม"
"","","","วัดเสมาไตรราษฏร์"
"","","","วัดอุดมวารี"
"","","","วัดเกาะแก้ว"
"","","","วัดบ้านหนองบัวน้อย"
"","","","วัดโสธาราม"
"","","","วัดดงเย็นมหาวิหาร"
"","","","วัดวารีเกษมราษฏร์"
"","","","วัดศิริรังษี"
"","","","วัดสุวรรณาราม"
"","","","วัดทุ่งแสงพุทธธรรม"
"","","","วัดใหม่มเหศักดิ์"
"","","","วัดป่าสุวรรณวารี"
"","","","วัดปัญจวารีวิเวก"
"","","","วัดป่าดอนเจริญ"
"","","","วัดป่าเทพมงคลวนาราม"
"","","","วัดป่าศรีคำสูง"
"","","","วัดบูรพา"
"","","","วัดรัตนไตรคม"
"","","","วัดสระประทุม"
"","","","วัดสว่างมาลัย"
"","","","วัดสว่างสระทอง"
"","","","วัดสว่างแสงอรุณ"
"","","","วัดสุนทรธรรมาราม"
"","","","วัดธรรมิการาม"
"","","","วัดบ้านคำพอุง"
"","","","วัดปฐมแพงศรี"
"","","","วัดป่าเมตตาธรรม"
"","","","วัดมาลาภิรมย์"
"","","","วัดศีรษะเกตุ"
"","","","วัดนาวาภิมุข"
